@relation nba_no_ws
@attribute stats.totals.pts.value integer
@attribute stats.totals.ast.value integer
@attribute stats.totals.trb.value integer
@attribute stats.per_game.pts_per_g.value real
@attribute stats.per_game.ast_per_g.value real
@attribute stats.per_game.trb_per_g.value real
@attribute stats.advanced.per.value real
@attribute honors.allstar_appearances integer
@attribute honors.championships integer
@attribute honors.mvpshares integer
@attribute hall_of_fame {True, False}
@data
1125,294,259,5.6,1.5,1.3,9.4,0,0,0,False
1090,876,447,3.2,2.6,1.3,10.7,0,0,0,False
757,363,418,4.0,1.9,2.2,11.5,0,0,0,False
4238,266,2964,6.2,0.4,4.3,11.9,0,1,0,False
7038,2484,1810,9.1,3.2,2.3,13.5,0,0,0,False
4617,856,1760,9.1,1.7,3.5,11.9,0,0,0,False
3625,1455,1420,8.4,3.4,3.3,11.7,2,0,0,False
3740,595,3918,4.7,0.8,4.9,13.6,0,4,0,False
4953,385,4246,7.3,0.6,6.2,13.0,0,0,0,False
6953,1150,2697,10.7,1.8,4.2,17.1,0,0,0,False
8278,1057,8646,7.3,0.9,7.6,13.9,0,0,0,False
15097,2729,2987,14.1,2.5,2.8,15.5,0,3,0,False
693,116,311,6.7,1.1,3.0,10.6,0,0,0,False
12544,2260,2072,18.0,3.2,3.0,16.5,4,0,0.01,False
1816,1003,473,7.3,4.0,1.9,13.0,0,1,0,False
4034,1201,760,7.4,2.2,1.4,11.2,0,0,0,False
2325,669,1191,6.3,1.8,3.2,11.2,0,1,0,False
3209,364,1597,7.5,0.8,3.7,13.9,0,0,0,False
12914,2945,4002,13.4,3.0,4.1,14.7,0,0,0,False
3541,494,2717,5.9,0.8,4.5,10.8,0,0,0,False
15948,3563,2747,24.2,5.4,4.2,18.4,5,0,0.069,True
3016,647,1691,6.4,1.4,3.6,10.8,0,0,0,False
517,34,379,3.8,0.3,2.8,11.8,0,0,0,False
2382,233,1113,7.4,0.7,3.4,15.2,0,0,0,False
5094,397,3249,7.8,0.6,5.0,14.5,0,0,0,False
3690,610,1450,10.4,1.7,4.1,14.2,0,0,0,False
7345,777,3450,11.7,1.2,5.5,15.3,1,0,0.005,False
5116,2748,1324,6.5,3.5,1.7,11.5,0,0,0,False
2408,490,1169,10.8,2.2,5.2,12.7,0,0,0,False
367,62,178,3.5,0.6,1.7,10.8,0,0,0,False
11736,2697,2646,13.0,3.0,2.9,13.0,0,0,0,False
964,195,142,9.4,1.9,1.4,9.9,0,0,0,False
4921,2556,1112,8.9,4.6,2.0,15.0,0,0,0,False
1030,121,464,6.4,0.8,2.9,10.0,0,0,0,False
1359,853,501,5.4,3.4,2.0,11.6,0,0,0,False
822,72,412,6.3,0.5,3.1,13.3,0,0,0,False
562,749,335,2.9,3.9,1.7,10.4,0,0,0,False
2171,236,1744,7.2,0.8,5.8,14.3,0,0,0,False
394,60,290,2.7,0.4,2.0,8.2,0,0,0,False
