@relation nba_no_ws
@attribute stats.totals.pts.value integer
@attribute stats.totals.ast.value integer
@attribute stats.totals.trb.value integer
@attribute stats.per_game.pts_per_g.value real
@attribute stats.per_game.ast_per_g.value real
@attribute stats.per_game.trb_per_g.value real
@attribute stats.advanced.per.value real
@attribute honors.allstar_appearances integer
@attribute honors.championships integer
@attribute honors.mvpshares integer
@attribute hall_of_fame {True, False}
@data
13895,1123,4653,17.6,1.4,5.9,14.9,3,0,0.017,False
641,229,343,4.9,1.7,2.6,9.2,0,0,0,False
12964,1237,7119,14.8,1.4,8.1,16.1,1,1,0,False
606,121,540,2.4,0.5,2.2,8.3,0,0,0,False
1337,106,607,5.1,0.4,2.3,13.4,0,0,0,False
4406,1262,2201,10.1,2.9,5.1,14.6,0,0,0,False
1830,266,776,7.8,1.1,3.3,11.4,0,0,0,False
10448,2500,4168,11.4,2.7,4.5,13.1,0,0,0,False
531,66,307,4.2,0.5,2.4,8.1,0,0,0,False
11825,3212,3109,12.0,3.3,3.2,15.2,0,2,0,False
576,126,315,4.5,1.0,2.5,11.0,0,0,0,False
27482,2907,11133,22.6,2.4,9.1,21.4,7,1,0.004,True
14018,3160,2637,14.6,3.3,2.7,17.7,1,1,0.012,False
877,288,527,7.6,2.5,4.5,11.8,0,0,0,False
757,247,1603,3.0,1.0,6.3,10.2,0,0,0,False
4161,1877,1140,9.0,4.1,2.5,13.7,0,0,0,False
2237,189,1526,8.2,0.7,5.6,13.6,0,0,0,False
5345,1880,736,11.2,3.9,1.5,12.6,0,0,0,False
767,535,263,4.5,3.1,1.5,12.0,0,0,0,False
389,41,395,2.8,0.3,2.8,6.3,0,0,0,False
1396,525,617,5.1,1.9,2.3,9.4,0,0,0,False
21813,8966,5269,16.3,6.7,3.9,18.9,9,1,0.823,True
5428,898,3454,6.7,1.1,4.3,12.5,0,1,0,False
293,36,121,2.5,0.3,1.0,8.7,0,0,0,False
830,185,226,7.0,1.6,1.9,7.6,0,0,0,False
4366,504,2276,8.6,1.0,4.5,15.9,0,0,0,False
1031,254,225,5.2,1.3,1.1,10.2,0,0,0,False
15659,5281,3646,14.5,4.9,3.4,17.7,1,0,0,False
13858,2645,4763,14.7,2.8,5.1,13.7,0,0,0,False
5583,1172,1045,8.2,1.7,1.5,11.8,0,0,0,False
3285,1688,1219,7.3,3.8,2.7,12.4,0,0,0,False
7826,1398,2610,9.5,1.7,3.2,11.0,0,0,0,False
1892,765,518,5.8,2.4,1.6,13.3,0,0,0,False
13910,3916,4309,13.8,3.9,4.3,15.6,0,5,0,False
3257,553,609,15.4,2.6,2.9,13.4,0,0,0,False
4733,668,2128,11.7,1.7,5.3,14.2,0,0,0,False
9012,1151,3646,13.8,1.8,5.6,16.3,3,0,0.011,False
13623,1609,3696,16.0,1.9,4.3,16.6,0,0,0,False
4086,818,2001,12.8,2.6,6.3,15.2,0,0,0,False
12172,3617,1923,16.1,4.8,2.5,17.4,5,0,0,False
5889,623,2452,11.0,1.2,4.6,13.1,0,0,0,False
1694,356,1114,4.6,1.0,3.0,8.5,0,0,0,False
951,173,762,8.0,1.5,6.4,11.9,0,0,0,False
5914,788,2913,8.1,1.1,4.0,12.2,0,0,0,False
4036,904,1317,9.1,2.0,3.0,15.0,0,0,0,False
1643,215,1323,4.4,0.6,3.5,11.3,0,0,0,False
16262,4487,3597,16.7,4.6,3.7,16.5,2,0,0.001,False
375,77,164,3.7,0.8,1.6,11.8,0,0,0,False
2988,233,1655,13.1,1.0,7.3,15.5,0,0,0,False
379,199,93,2.7,1.4,0.7,7.3,0,0,0,False
5059,388,3158,9.2,0.7,5.7,15.2,0,0,0,False
18822,9061,3478,19.2,9.3,3.6,18.1,12,2,0.318,True
4797,1818,971,9.3,3.5,1.9,13.5,0,0,0,False
1319,825,330,8.6,5.4,2.2,12.2,0,0,0,False
1628,156,1146,6.3,0.6,4.5,13.7,0,0,0,False
381,63,316,3.3,0.6,2.8,10.6,0,0,0,False
2225,672,844,6.8,2.0,2.6,13.9,0,0,0,False
11988,1348,7267,15.5,1.7,9.4,14.9,2,0,0.018,False
13220,3527,3193,14.3,3.8,3.5,15.3,0,0,0.001,False
1785,629,554,8.3,2.9,2.6,9.4,1,0,0,False
11839,1509,5867,15.0,1.9,7.4,16.3,4,0,0.021,False
1540,237,485,7.1,1.1,2.2,12.3,0,0,0,False
2387,232,749,7.4,0.7,2.3,12.4,0,0,0,False
1259,307,795,4.5,1.1,2.8,9.8,0,0,0,False
3235,1034,588,8.0,2.6,1.5,12.7,0,0,0,False
1690,227,409,9.0,1.2,2.2,11.5,0,0,0,False
1317,454,437,6.2,2.2,2.1,12.1,0,0,0,False
1677,834,481,5.5,2.7,1.6,12.4,0,0,0,False
980,204,502,7.0,1.4,3.6,12.3,0,0,0,False
1499,352,433,8.4,2.0,2.4,13.7,0,0,0,False
1685,428,467,6.7,1.7,1.9,8.9,0,0,0,False
466,110,494,4.3,1.0,4.6,10.3,0,0,0,False
5437,1658,1060,6.0,1.8,1.2,13.1,0,5,0,False
5594,3083,854,11.6,6.4,1.8,13.9,0,0,0.036,False
4578,906,4239,9.5,1.9,8.8,13.5,0,0,0,False
204,36,213,1.8,0.3,1.9,7.7,0,0,0,False
2800,903,1133,8.2,2.6,3.3,10.9,0,2,0,False
5414,2058,2058,7.2,2.8,2.8,11.2,0,0,0,False
4285,2174,1446,5.8,3.0,2.0,9.8,0,1,0,False
1333,241,491,6.3,1.1,2.3,12.4,0,0,0,False
1103,159,538,4.7,0.7,2.3,11.1,0,0,0,False
2253,1038,654,4.5,2.1,1.3,10.0,0,0,0,False
10303,3754,9687,10.3,3.7,9.7,14.2,1,0,0.013,False
3414,1595,788,8.1,3.8,1.9,13.1,0,1,0,False
6252,2225,2175,10.8,3.8,3.8,13.8,0,1,0,False
606,108,313,4.1,0.7,2.1,11.5,0,0,0,False
11916,1771,4355,13.2,2.0,4.8,14.2,2,2,0,False
5412,2531,1981,8.3,3.9,3.0,12.6,0,1,0,False
8780,1299,5671,7.7,1.1,5.0,13.4,0,0,0,False
4229,2509,1005,11.2,6.7,2.7,11.4,3,1,0,False
1381,534,373,6.9,2.7,1.9,11.8,0,0,0,False
3997,739,3109,6.7,1.2,5.2,14.2,0,0,0,False
1078,266,352,5.3,1.3,1.7,10.2,0,0,0,False
898,458,395,5.1,2.6,2.2,11.2,0,0,0,False
9621,4209,1900,14.7,6.4,2.9,16.6,1,0,0.001,False
5821,1728,6953,7.4,2.2,8.9,14.4,0,1,0.01,False
6218,1329,1221,9.8,2.1,1.9,14.6,0,0,0,False
2546,1179,606,7.6,3.5,1.8,12.9,0,0,0,False
3149,652,1771,11.2,2.3,6.3,14.1,0,0,0,False
416,243,129,3.7,2.2,1.2,11.7,0,0,0,False
289,117,110,2.0,0.8,0.8,8.8,0,0,0,False
9951,6454,2151,10.7,7.0,2.3,15.9,0,0,0,False
4494,691,3170,9.5,1.5,6.7,15.2,0,0,0,False
2944,846,1438,5.4,1.6,2.7,13.7,0,0,0,False
13790,2184,10400,12.9,2.0,9.7,16.1,4,2,0.012,False
3877,609,1235,10.0,1.6,3.2,13.8,0,0,0,False
12690,2851,4152,14.3,3.2,4.7,13.5,0,0,0,False
424,29,272,3.0,0.2,1.9,11.3,0,0,0,False
1683,226,1555,4.7,0.6,4.4,11.7,0,0,0,False
13516,2910,10444,17.6,3.8,13.6,17.0,8,2,1.338,True
567,96,210,3.6,0.6,1.3,6.7,0,0,0,False
751,186,204,4.7,1.2,1.3,10.3,0,0,0,False
390,33,496,2.0,0.2,2.5,8.7,0,0,0,False
10176,1405,8709,9.7,1.3,8.3,13.2,0,1,0,False
2069,201,2212,5.9,0.6,6.3,10.2,0,3,0,False
14467,1826,2296,14.9,1.9,2.4,17.7,1,0,0,False
1067,249,297,6.8,1.6,1.9,10.5,0,0,0,False
5521,2102,1294,7.8,3.0,1.8,12.1,0,0,0,False
5904,941,8125,6.7,1.1,9.2,12.6,0,0,0,False
12878,1077,5117,15.3,1.3,6.1,15.7,0,0,0,False
1218,394,271,6.7,2.2,1.5,10.8,0,0,0,False
1542,304,841,5.0,1.0,2.7,13.9,0,0,0,False
2443,412,511,10.1,1.7,2.1,12.2,0,0,0,False
25192,6238,5366,27.0,6.7,5.8,22.9,14,1,2.09,True
2272,1233,868,5.1,2.8,2.0,13.0,0,0,0,False
14463,7987,4084,13.2,7.3,3.7,18.0,0,0,0.001,False
5833,1498,2833,12.8,3.3,6.2,14.7,0,0,0,False
712,411,226,3.5,2.0,1.1,6.9,0,0,0,False
2252,283,836,7.1,0.9,2.6,11.5,0,0,0,False
4945,623,2745,12.5,1.6,6.9,13.8,0,0,0,False
5560,2758,906,7.2,3.6,1.2,12.0,0,3,0,False
9898,1533,5985,11.3,1.7,6.8,16.7,0,0,0,False
7703,1001,6155,13.1,1.7,10.5,18.0,3,1,0,False
1995,1002,601,6.5,3.3,2.0,8.6,0,0,0,False
6516,1100,4756,8.3,1.4,6.0,15.3,0,2,0,False
8729,1124,3167,15.2,2.0,5.5,15.9,0,0,0.001,False
623,95,417,4.3,0.7,2.9,9.6,0,0,0,False
8553,2079,1087,14.6,3.5,1.9,15.4,0,0,0,False
8693,723,3258,14.3,1.2,5.3,19.3,1,0,0.001,False
14837,3515,2846,20.7,4.9,4.0,15.8,5,1,0,False
1450,145,768,5.6,0.6,3.0,13.7,0,0,0,False
2372,381,1884,6.6,1.1,5.2,10.6,0,0,0,False
2539,628,1090,9.7,2.4,4.2,12.0,0,0,0,False
3617,378,2243,5.3,0.6,3.3,11.0,0,0,0,False
3511,435,2195,7.8,1.0,4.8,15.0,1,0,0,False
1455,162,1353,4.4,0.5,4.1,10.7,0,0,0,False
594,119,214,3.6,0.7,1.3,9.8,0,0,0,False
848,94,395,6.0,0.7,2.8,13.4,0,0,0,False
1868,227,1488,6.0,0.7,4.8,13.7,0,1,0,False
2030,285,1251,6.5,0.9,4.0,10.5,0,0,0,False
7777,852,6095,7.9,0.9,6.2,13.4,0,0,0,False
422,201,141,2.2,1.1,0.8,7.0,0,1,0,False
874,224,281,7.7,2.0,2.5,11.5,1,0,0,False
1375,226,402,6.3,1.0,1.8,9.5,0,0,0,False
2505,337,1623,7.1,1.0,4.6,12.7,0,0,0,False
7302,1384,3410,10.0,1.9,4.7,14.2,0,0,0,False
5259,2198,1214,9.5,4.0,2.2,14.0,0,0,0,False
3238,311,1655,8.4,0.8,4.3,14.1,0,0,0,False
12489,10334,4963,9.6,8.0,3.8,16.0,1,0,0.003,False
502,83,164,3.6,0.6,1.2,12.0,0,0,0,False
329,66,178,3.0,0.6,1.6,9.7,0,0,0,False
15079,3057,3807,16.4,3.3,4.1,14.4,3,0,0,False
2764,500,2342,4.0,0.7,3.4,8.9,0,0,0,False
6858,6726,2318,7.7,7.6,2.6,15.0,0,0,0,False
10483,1346,6846,11.5,1.5,7.5,15.6,0,0,0,False
5791,4245,2141,6.8,5.0,2.5,12.2,0,0,0,False
619,222,182,5.1,1.8,1.5,13.1,0,0,0,False
8265,744,7110,7.8,0.7,6.7,13.2,0,0,0,False
1179,120,919,8.0,0.8,6.2,12.0,0,0,0,False
983,333,347,7.0,2.4,2.5,11.7,0,0,0,False
3534,1335,592,8.5,3.2,1.4,12.8,0,0,0,False
3473,375,5457,3.9,0.4,6.2,10.7,0,0,0,False
1908,1230,1089,5.3,3.4,3.0,14.0,0,1,0,False
7866,4709,1738,8.2,4.9,1.8,14.7,0,0,0,False
647,152,159,5.4,1.3,1.3,12.2,0,0,0,False
2930,413,1891,6.0,0.8,3.9,11.8,0,0,0,False
6020,992,1157,16.2,2.7,3.1,11.0,2,1,0,False
6894,2869,1489,10.8,4.5,2.3,13.1,2,0,0,False
2338,433,1626,6.8,1.3,4.7,13.4,0,0,0,False
17955,3319,2430,20.3,3.7,2.7,18.8,1,0,0.027,False
792,110,167,5.5,0.8,1.2,13.3,0,0,0,False
13127,6711,2404,17.9,9.1,3.3,20.7,3,0,0.063,False
739,104,468,4.2,0.6,2.6,10.2,0,0,0,False
6529,807,3825,9.6,1.2,5.6,13.3,0,0,0,False
1542,318,1368,5.8,1.2,5.2,11.3,0,0,0,False
1233,165,883,5.0,0.7,3.6,11.3,0,1,0,False
4930,498,3618,10.7,1.1,7.8,8.9,1,0,0,False
3726,696,3981,7.0,1.3,7.4,13.3,0,0,0,False
13606,1775,5313,15.6,2.0,6.1,16.1,1,0,0,False
2005,338,1077,7.4,1.3,4.0,13.0,0,0,0,False
1347,193,852,7.0,1.0,4.4,11.3,0,0,0,False
4937,2476,1025,8.3,4.2,1.7,12.7,0,0,0,False
479,78,389,4.7,0.8,3.8,12.1,0,0,0,False
9518,1716,6154,9.5,1.7,6.1,13.3,0,0,0,False
802,94,289,5.9,0.7,2.1,12.1,0,1,0,False
3353,375,1466,8.8,1.0,3.9,13.3,0,0,0,False
7585,1409,2376,10.8,2.0,3.4,12.8,0,0,0,False
574,60,479,3.1,0.3,2.6,12.5,0,0,0,False
6470,1171,2262,12.1,2.2,4.2,13.1,0,0,0,False
1558,231,1397,4.8,0.7,4.3,9.5,0,2,0,False
5449,944,4097,12.2,2.1,9.2,15.4,1,0,0,False
19521,3878,3053,18.9,3.8,3.0,19.1,6,0,0.03,False
11834,1298,4718,12.8,1.4,5.1,14.3,0,0,0,False
441,166,209,3.3,1.2,1.5,10.6,0,0,0,False
2485,596,1933,4.2,1.0,3.3,7.8,0,0,0,False
7933,923,5622,10.5,1.2,7.4,14.9,0,0,0,False
1501,111,893,5.9,0.4,3.5,8.9,0,0,0,False
12142,2090,2703,17.2,3.0,3.8,16.2,2,0,0.02,False
4090,836,2794,7.2,1.5,4.9,11.8,0,3,0,False
3339,389,1309,8.8,1.0,3.5,14.4,0,1,0,False
660,152,608,4.6,1.0,4.2,9.5,0,0,0,False
5305,1335,2718,11.3,2.9,5.8,15.1,0,0,0,False
2784,986,533,8.5,3.0,1.6,10.5,0,0,0,False
1374,224,533,8.9,1.5,3.5,13.7,0,0,0,False
3291,232,1240,16.8,1.2,6.3,14.6,1,0,0,False
5622,2189,2042,9.3,3.6,3.4,15.0,1,1,0,False
1040,142,456,6.7,0.9,2.9,12.3,0,0,0,False
2892,2397,1712,5.3,4.4,3.1,13.6,0,1,0,False
2945,840,1021,6.4,1.8,2.2,11.7,0,0,0,False
439,30,275,4.3,0.3,2.7,11.4,0,0,0,False
1127,221,1114,4.1,0.8,4.1,10.9,0,0,0,False
1297,280,345,5.4,1.2,1.4,12.5,0,0,0,False
10023,1269,5856,19.4,2.5,11.3,24.7,6,1,0.003,True
2633,632,2003,6.9,1.7,5.3,14.0,1,0,0,False
1762,194,268,13.1,1.4,2.0,15.3,0,0,0,False
1658,327,1510,6.9,1.4,6.3,10.9,0,0,0,False
9656,2963,7279,10.9,3.4,8.3,14.6,1,0,0.007,False
940,269,474,6.5,1.9,3.3,11.8,0,0,0,False
609,342,161,4.8,2.7,1.3,10.5,0,0,0,False
1311,237,1388,5.9,1.1,6.2,10.2,0,0,0,False
1852,375,1428,3.8,0.8,2.9,9.2,0,0,0,False
3107,427,2556,5.0,0.7,4.1,12.9,0,0,0,False
2511,544,1532,8.6,1.9,5.2,14.1,0,0,0,False
8107,798,3246,14.4,1.4,5.8,15.7,0,0,0,False
1140,627,291,5.1,2.8,1.3,10.7,0,0,0,False
729,124,200,5.1,0.9,1.4,11.5,0,0,0,False
417,46,131,3.4,0.4,1.1,10.2,0,0,0,False
640,85,312,4.3,0.6,2.1,11.5,0,0,0,False
7809,3006,1601,11.6,4.5,2.4,13.0,1,1,0,False
1032,160,635,7.7,1.2,4.7,14.5,0,1,0,False
4471,954,1841,9.9,2.1,4.1,15.6,0,0,0,False
1139,229,963,2.7,0.5,2.3,9.0,0,1,0,False
15586,7160,3872,12.2,5.6,3.0,17.2,2,0,0.026,False
11450,2298,5300,16.2,3.3,7.5,16.3,2,0,0,False
6918,1004,1336,20.2,2.9,3.9,17.5,1,0,0,False
1085,115,523,6.6,0.7,3.2,11.9,0,0,0,False
12740,1688,2536,11.0,1.5,2.2,12.9,0,0,0,False
3722,1700,1593,6.6,3.0,2.8,10.1,0,1,0,False
2011,336,533,7.8,1.3,2.1,12.2,0,0,0,False
7508,1492,2393,12.5,2.5,4.0,14.2,0,0,0,False
736,325,180,4.2,1.8,1.0,10.7,0,0,0,False
7935,757,3891,10.6,1.0,5.2,15.2,0,1,0,False
834,96,253,6.4,0.7,1.9,15.1,0,1,0,False
11825,2134,6339,10.3,1.9,5.5,14.9,0,1,0,False
593,107,423,5.6,1.0,4.0,11.9,0,0,0,False
1723,386,307,5.9,1.3,1.1,12.9,0,1,0,False
2494,488,1935,4.3,0.8,3.3,11.9,0,1,0,False
591,99,353,5.7,1.0,3.4,11.3,0,0,0,False
11305,1114,6508,15.8,1.6,9.1,16.3,4,3,0.011,False
7806,1139,6689,7.9,1.2,6.8,13.6,0,0,0,False
553,58,433,3.0,0.3,2.3,9.7,0,0,0,False
2243,1194,831,4.8,2.5,1.8,9.9,0,0,0,False
2882,322,2096,8.2,0.9,5.9,15.4,0,0,0,False
9405,1535,2166,16.7,2.7,3.8,14.7,0,0,0,False
2960,244,2874,5.5,0.5,5.3,14.4,0,0,0,False
5784,1130,1864,7.2,1.4,2.3,12.8,0,0,0,False
2062,469,1994,5.7,1.3,5.5,10.1,0,0,0,False
1451,392,1799,2.7,0.7,3.3,10.5,0,0,0,False
11819,3498,2427,16.3,4.8,3.3,16.4,2,0,0,False
8870,5221,1819,9.4,5.5,1.9,15.3,1,0,0.011,False
684,128,323,4.4,0.8,2.1,9.0,0,0,0,False
11629,1781,7979,14.3,2.2,9.8,15.9,0,0,0,False
5009,1719,1781,8.2,2.8,2.9,12.7,0,1,0,False
744,176,144,4.4,1.0,0.9,14.4,0,0,0,False
2882,343,1955,4.9,0.6,3.3,10.8,0,1,0,False
12281,1449,9083,11.6,1.4,8.6,17.1,4,0,0,False
5312,905,2532,6.7,1.1,3.2,12.4,0,0,0,False
3130,920,3034,5.3,1.6,5.2,13.7,0,0,0,False
933,399,222,6.8,2.9,1.6,12.7,0,0,0,False
1954,63,1944,5.9,0.2,5.8,14.2,0,0,0,False
7715,2343,5269,7.0,2.1,4.8,13.4,0,7,0,False
1597,167,1039,5.4,0.6,3.5,10.7,0,0,0,False
4097,969,3249,7.8,1.8,6.2,12.2,0,1,0,False
5338,1257,824,8.7,2.1,1.3,13.7,0,0,0,False
7007,594,3333,17.4,1.5,8.3,16.6,1,0,0,False
595,126,396,5.4,1.1,3.6,14.3,0,0,0,False
2190,279,741,15.9,2.0,5.4,17.3,1,0,0,False
7228,857,3538,10.9,1.3,5.3,13.9,0,0,0,False
1200,135,921,4.6,0.5,3.5,12.6,0,0,0,False
6389,3276,3134,8.9,4.6,4.4,13.7,0,1,0,False
4891,949,2349,10.1,2.0,4.8,13.0,0,0,0,False
2813,896,1363,8.3,2.7,4.0,13.3,0,0,0,False
6925,1769,2342,9.0,2.3,3.1,12.7,0,0,0,False
9994,4407,2174,13.8,6.1,3.0,19.7,2,0,0.003,False
11842,4159,2405,12.5,4.4,2.5,14.2,0,0,0,False
1742,867,316,6.4,3.2,1.2,12.6,0,0,0,False
7577,1628,1372,14.0,3.0,2.5,17.5,1,1,0,False
12507,3364,2494,14.9,4.0,3.0,15.5,0,0,0,False
1026,67,621,6.9,0.4,4.2,17.0,0,0,0,False
1737,204,1810,4.8,0.6,5.0,13.3,0,0,0,False
5124,1419,1815,7.4,2.0,2.6,12.7,0,0,0,False
944,203,1005,3.8,0.8,4.1,12.3,0,0,0,False
5929,3114,1969,8.2,4.3,2.7,13.4,0,1,0.001,False
6547,3918,3183,6.9,4.2,3.4,11.7,0,3,0,False
739,465,176,3.1,2.0,0.7,11.5,0,0,0,False
3968,844,1759,7.0,1.5,3.1,11.4,0,2,0,False
3088,847,1992,4.9,1.4,3.2,11.3,0,0,0,False
4241,973,1318,8.1,1.9,2.5,12.5,0,2,0,False
751,110,439,4.8,0.7,2.8,12.1,0,0,0,False
5316,830,1374,19.4,3.0,5.0,17.0,2,0,0,False
9301,2992,3382,11.2,3.6,4.1,14.6,0,0,0,False
6828,1220,5876,8.7,1.6,7.5,13.1,0,0,0,False
1223,160,546,9.1,1.2,4.1,12.8,0,0,0,False
3995,418,2725,6.5,0.7,4.5,11.8,0,0,0,False
6628,3313,1820,7.8,3.9,2.1,12.1,0,0,0,False
1320,342,317,5.4,1.4,1.3,10.5,0,0,0,False
9784,1592,5998,11.0,1.8,6.8,15.6,0,0,0,False
3670,584,941,9.6,1.5,2.5,11.8,0,0,0,False
4204,1427,1217,9.9,3.3,2.9,10.2,0,0,0,False
16006,6577,2884,13.3,5.5,2.4,16.0,0,0,0,False
9991,860,6424,14.7,1.3,9.5,15.7,0,0,0,False
7011,1254,2819,9.0,1.6,3.6,13.5,0,0,0,False
10672,1515,2467,15.2,2.2,3.5,13.8,3,0,0,False
1440,238,365,7.0,1.1,1.8,13.3,0,0,0,False
4596,2007,5745,7.2,3.2,9.0,16.3,0,0,0,False
323,112,374,3.2,1.1,3.7,9.4,0,0,0,False
13901,1862,4377,16.9,2.3,5.3,18.2,2,0,0,False
4666,622,3991,4.8,0.6,4.1,10.5,0,0,0,False
10925,2755,4265,11.4,2.9,4.5,13.8,3,0,0,False
1868,342,717,5.2,0.9,2.0,10.2,0,0,0,False
5251,2164,7119,7.7,3.2,10.5,10.2,1,0,0,False
2821,591,1709,7.7,1.6,4.7,13.7,0,1,0,False
9468,1722,3881,10.9,2.0,4.5,14.4,0,0,0,False
652,57,483,4.8,0.4,3.5,12.1,0,0,0,False
561,61,393,4.2,0.5,3.0,13.6,0,0,0,False
467,89,169,3.5,0.7,1.3,10.5,0,0,0,False
7314,2719,2394,9.2,3.4,3.0,12.2,0,1,0,False
500,190,343,2.7,1.0,1.8,14.1,0,0,0,False
2904,885,861,12.8,3.9,3.8,14.7,0,0,0,False
4666,695,4232,9.2,1.4,8.3,16.0,1,0,0,False
4120,1462,820,9.9,3.5,2.0,12.9,0,0,0,False
4337,2669,1861,6.3,3.9,2.7,14.1,0,0,0,False
1534,62,1002,4.8,0.2,3.1,10.2,0,0,0,False
5034,651,2873,16.0,2.1,9.1,18.1,2,0,0,False
2525,943,830,6.8,2.5,2.2,9.4,0,0,0,False
5822,1024,1224,11.9,2.1,2.5,12.1,1,1,0,False
656,112,442,4.6,0.8,3.1,12.2,0,0,0,False
3470,571,3870,6.1,1.0,6.8,12.1,0,0,0,False
6782,1566,1820,12.4,2.9,3.3,13.4,0,0,0,False
1802,774,300,6.1,2.6,1.0,12.6,0,1,0,False
1140,188,464,6.2,1.0,2.5,11.7,0,0,0,False
4968,629,1112,9.6,1.2,2.1,14.0,0,2,0,False
4377,1412,1500,7.2,2.3,2.5,11.8,1,0,0,False
571,73,517,4.3,0.5,3.9,10.7,0,0,0,False
8622,3215,2705,12.2,4.6,3.8,14.5,6,1,0.037,False
11947,1097,6663,17.0,1.6,9.5,21.6,4,3,0.013,True
952,188,492,5.7,1.1,2.9,13.4,0,0,0,False
9876,848,5518,16.0,1.4,8.9,17.4,4,2,0,False
389,114,123,3.3,1.0,1.0,8.1,0,0,0,False
19015,6453,3349,18.5,6.3,3.3,16.6,2,0,0.009,False
3865,474,3743,6.6,0.8,6.4,15.9,0,0,0,False
11944,1856,6509,10.8,1.7,5.9,13.6,0,0,0,False
1835,211,1418,4.1,0.5,3.2,9.8,0,0,0,False
1826,565,910,6.8,2.1,3.4,10.8,0,1,0,False
1057,187,1519,5.8,1.0,8.3,12.5,0,0,0,False
10068,2608,2855,14.4,3.7,4.1,13.7,5,0,0.042,False
4989,1453,1318,11.1,3.2,2.9,13.8,0,0,0,False
2450,1184,1145,7.8,3.7,3.6,8.8,0,1,0,False
4928,809,4986,8.3,1.4,8.4,18.0,0,1,0,False
4396,736,4955,10.3,1.7,11.6,12.5,0,1,0,False
5430,1645,2234,11.5,3.5,4.7,10.4,0,0,0,False
508,113,90,5.0,1.1,0.9,10.3,0,0,0,False
1734,280,997,8.1,1.3,4.7,14.5,0,0,0,False
1924,532,967,6.1,1.7,3.1,11.3,0,1,0,False
963,239,260,8.4,2.1,2.3,11.6,0,0,0,False
5153,2169,2129,10.2,4.3,4.2,12.2,2,1,0,False
424,139,116,3.7,1.2,1.0,7.7,0,0,0,False
21586,4540,5665,19.2,4.0,5.0,15.7,10,1,0.006,True
1552,443,1632,4.4,1.3,4.7,11.2,0,0,0,False
2658,398,1703,8.4,1.3,5.4,12.3,0,0,0,False
3530,333,1480,13.6,1.3,5.7,15.7,0,1,0,False
2158,504,375,8.8,2.1,1.5,11.9,0,1,0,False
6672,871,4607,8.7,1.1,6.0,10.7,0,0,0,False
3354,213,3436,5.2,0.3,5.4,10.8,0,0,0,False
691,105,385,4.1,0.6,2.3,11.1,0,0,0,False
2767,211,819,13.8,1.0,4.1,18.7,0,0,0,False
334,76,228,3.2,0.7,2.2,10.0,0,0,0,False
6870,3247,1284,10.6,5.0,2.0,13.8,3,3,0,False
18831,2126,7314,18.2,2.1,7.1,17.6,7,1,0.005,True
4086,418,2232,9.0,0.9,4.9,12.8,0,0,0,False
1497,101,1238,4.8,0.3,3.9,11.8,0,0,0,False
566,84,393,4.5,0.7,3.1,12.1,0,1,0,False
4631,807,819,12.8,2.2,2.3,16.7,0,0,0,False
2039,180,1688,12.3,1.1,10.2,14.0,0,0,0,False
10163,3436,1522,15.1,5.1,2.3,16.0,2,0,0,False
19202,2550,4832,16.0,2.1,4.0,15.9,0,0,0,False
2734,707,2334,5.3,1.4,4.5,10.9,0,0,0,False
12658,5777,2545,14.4,6.6,2.9,15.8,1,0,0,False
6683,1600,11954,7.3,1.8,13.1,14.6,2,5,0.04,True
911,139,1437,4.5,0.7,7.1,12.4,0,0,0,False
833,121,183,7.0,1.0,1.5,12.7,0,0,0,False
1478,207,363,8.4,1.2,2.1,10.8,0,0,0,False
1874,325,1227,4.2,0.7,2.7,12.9,0,0,0,False
628,183,214,5.5,1.6,1.9,10.9,0,0,0,False
3533,292,2803,12.6,1.0,10.0,18.4,0,0,0,False
3276,1344,1075,8.0,3.3,2.6,9.5,1,0,0,False
1482,282,427,5.4,1.0,1.6,12.9,0,0,0,False
4799,2421,1433,9.4,4.7,2.8,12.5,0,0,0,False
1974,447,1337,9.3,2.1,6.3,9.6,0,0,0,False
10538,984,4263,16.3,1.5,6.6,15.0,3,0,0,False
11038,2628,2069,16.1,3.8,3.0,17.0,2,0,0.004,False
401,62,223,3.2,0.5,1.8,11.1,0,0,0,False
7541,808,5962,13.4,1.4,10.6,16.2,0,0,0.007,False
4313,491,2992,5.4,0.6,3.8,10.9,0,0,0,False
38387,5660,17440,24.6,3.6,11.2,24.6,19,6,6.203,True
6439,1185,2550,7.0,1.3,2.8,11.8,0,1,0,False
19004,1746,4201,15.7,1.4,3.5,16.0,1,0,0,False
1032,880,283,3.8,3.3,1.1,8.1,0,0,0,False
7645,5314,1179,11.6,8.1,1.8,15.6,0,0,0,False
6759,1336,3054,10.0,2.0,4.5,14.0,0,2,0,False
2683,254,1506,10.2,1.0,5.7,13.3,0,0,0,False
8980,1235,8340,12.4,1.7,11.6,17.6,2,0,0,False
11575,2803,2254,15.3,3.7,3.0,13.7,0,0,0,False
5301,587,3181,11.5,1.3,6.9,16.3,1,0,0,False
5140,1740,3772,6.1,2.1,4.5,12.6,0,0,0,False
11507,1556,6936,15.6,2.1,9.4,15.4,4,0,0,False
6249,660,6750,5.4,0.6,5.8,13.6,0,0,0,False
4957,1024,1351,9.1,1.9,2.5,13.7,0,0,0,False
3829,370,1470,10.8,1.0,4.1,13.6,0,0,0,False
4347,898,1546,8.9,1.8,3.2,13.1,0,0,0,False
