@relation nba_all
@attribute stats.totals.pts.value integer
@attribute stats.totals.ast.value integer
@attribute stats.totals.trb.value integer
@attribute stats.per_game.pts_per_g.value real
@attribute stats.per_game.ast_per_g.value real
@attribute stats.per_game.trb_per_g.value real
@attribute stats.advanced.per.value real
@attribute stats.advanced.ts_pct.value real
@attribute stats.advanced.ws.value real
@attribute stats.advanced.dws.value real
@attribute stats.advanced.ows.value real
@attribute stats.advanced.efg_pct.value real
@attribute stats.totals.g.value integer
@attribute honors.allstar_appearances integer
@attribute honors.championships integer
@attribute honors.mvpshares integer
@attribute hall_of_fame {True, False}
@data
10898,1526,5192,10.3,1.4,4.9,16.1,0.544,74.6,29.5,45.1,0.48,1053,0,5,0,False
1132,134,1007,5.4,0.6,4.8,9.3,0.442,2.8,3.9,-1.1,0.409,211,0,0,0,False
4733,4893,3222,5.9,6.1,4.0,14.5,0.508,50.2,31.1,19.2,0.479,796,0,0,0,False
1140,186,198,7.3,1.2,1.3,12.0,0.486,1.3,0.7,0.5,0.454,156,0,0,0,False
3496,1723,689,8.0,3.9,1.6,14.0,0.545,16.1,5.1,11.1,0.492,438,0,0,0,False
4536,440,2564,11.0,1.1,6.2,16.5,0.562,22.8,13.8,9.0,0.528,413,0,1,0,False
761,284,153,4.5,1.7,0.9,9.7,0.509,1.0,1.7,-0.7,0.48,168,0,0,0,False
4030,491,2366,8.3,1.0,4.9,12.8,0.579,21.5,9.2,12.3,0.535,483,0,0,0,False
3130,424,2762,5.0,0.7,4.4,9.7,0.516,15.9,13.1,2.8,0.455,626,0,0,0,False
637,40,477,3.9,0.2,2.9,11.6,0.51,2.9,2.1,0.8,0.467,162,0,0,0,False
4749,528,3547,11.5,1.3,8.6,17.3,0.507,20.2,10.2,10.0,0.473,413,0,0,0,False
677,58,417,5.0,0.4,3.1,11.2,0.485,2.2,1.6,0.5,0.461,135,0,1,0,False
752,316,227,6.7,2.8,2.0,10.7,0.485,1.5,1.3,0.3,0.45,112,0,0,0,False
1717,345,2607,2.5,0.5,3.8,6.5,0.454,5.6,10.6,-5.0,0.438,680,0,2,0,False
12331,1400,9473,9.6,1.1,7.4,14.4,0.557,99.5,41.2,58.3,0.501,1278,1,3,0,False
12391,1627,2519,16.2,2.1,3.3,14.6,0.509,22.0,20.8,1.2,0.487,765,0,0,0,False
5733,788,7626,7.7,1.1,10.3,11.9,0.47,33.5,28.7,4.8,0.432,742,1,0,0.001,False
731,143,466,4.3,0.8,2.7,9.5,0.442,0.6,1.2,-0.6,0.409,170,0,0,0,False
3287,881,2100,7.4,2.0,4.7,11.1,0.464,9.1,8.3,0.9,0.426,445,0,0,0,False
8901,2837,1609,10.5,3.3,1.9,16.4,0.572,49.6,11.1,38.4,0.536,850,1,0,0,False
14155,2812,3857,14.8,2.9,4.0,16.7,0.554,100.6,43.5,57.1,0.505,954,3,0,0,False
3257,331,1745,9.0,0.9,4.8,15.1,0.562,15.0,8.3,6.7,0.51,363,0,0,0,False
8817,5846,1751,8.4,5.5,1.7,14.5,0.517,56.5,23.1,33.5,0.481,1054,0,1,0,False
1237,251,1019,4.7,0.9,3.8,13.3,0.524,6.9,1.1,5.8,0.465,265,0,0,0,False
5400,3080,1318,8.7,5.0,2.1,14.0,0.507,22.1,14.3,7.8,0.442,620,0,0,0,False
3633,539,939,10.9,1.6,2.8,13.3,0.496,7.1,5.8,1.3,0.44,334,0,1,0,False
17940,2432,3926,20.2,2.7,4.4,17.4,0.532,81.0,17.6,63.4,0.489,890,6,0,0.001,False
819,147,576,4.4,0.8,3.1,9.1,0.567,2.9,3.0,-0.1,0.511,187,0,0,0,False
2611,500,1552,9.3,1.8,5.5,17.0,0.478,14.3,4.0,10.2,0.404,281,0,0,0,True
517,82,372,2.4,0.4,1.7,11.7,0.498,3.3,2.4,1.0,0.445,218,0,1,0,False
1909,278,1832,4.4,0.6,4.3,10.6,0.447,4.0,6.0,-2.0,0.403,431,0,1,0,False
1107,224,624,5.3,1.1,3.0,11.4,0.467,3.1,3.1,0.0,0.443,210,0,0,0,False
1298,262,818,3.8,0.8,2.4,8.5,0.452,6.4,5.2,1.2,0.422,341,0,1,0,False
1728,910,393,7.6,4.0,1.7,13.6,0.505,6.8,3.1,3.7,0.428,226,0,0,0,False
3704,509,1132,6.4,0.9,1.9,12.9,0.538,15.7,6.6,9.0,0.487,583,0,0,0,False
9924,2561,1978,15.1,3.9,3.0,15.8,0.523,41.1,14.9,26.2,0.477,659,2,1,0.027,False
3640,335,1444,12.9,1.2,5.1,15.1,0.544,15.7,5.4,10.3,0.519,283,0,0,0,False
4623,716,2686,8.8,1.4,5.1,12.1,0.434,5.0,13.0,-8.0,0.398,524,0,0,0,False
786,181,1039,6.3,1.4,8.3,11.8,0.423,1.8,3.5,-1.8,0.388,125,0,0,0,False
2187,225,973,7.9,0.8,3.5,12.6,0.476,5.6,3.3,2.3,0.44,278,0,0,0,False
1454,143,1169,3.6,0.4,2.9,11.8,0.563,13.7,8.2,5.6,0.53,403,0,0,0,False
8603,978,5261,11.5,1.3,7.0,16.3,0.54,55.0,23.7,31.3,0.505,747,2,0,0,False
1652,317,873,7.7,1.5,4.1,14.0,0.53,6.6,3.0,3.6,0.499,215,0,0,0,False
956,109,290,6.7,0.8,2.0,9.3,0.468,2.1,1.9,0.2,0.433,143,0,0,0,False
3923,444,2327,7.9,0.9,4.7,13.0,0.555,16.9,9.5,7.4,0.52,494,0,0,0,False
2667,270,1032,8.3,0.8,3.2,13.2,0.479,5.2,3.3,1.9,0.44,320,0,0,0,False
1696,585,821,6.1,2.1,2.9,10.3,0.454,4.5,3.2,1.3,0.397,279,0,0,0,False
2895,549,2088,11.0,2.1,8.0,15.4,0.436,9.1,3.8,5.3,0.37,262,1,0,0,False
8428,1614,6537,10.2,2.0,7.9,13.6,0.532,46.4,25.8,20.6,0.478,823,0,1,0,False
1470,944,391,6.8,4.4,1.8,11.6,0.513,4.6,1.8,2.9,0.444,216,0,0,0,False
7492,2456,3139,8.6,2.8,3.6,13.4,0.523,41.2,25.5,15.7,0.5,873,0,0,0,False
1257,343,916,3.8,1.0,2.8,10.8,0.532,9.1,5.8,3.3,0.479,328,0,0,0,False
848,180,192,7.1,1.5,1.6,12.4,0.422,3.1,2.0,1.1,0.36,119,0,0,0,False
1739,260,624,5.2,0.8,1.9,9.8,0.459,2.6,2.9,-0.3,0.402,333,0,0,0,False
3686,356,2436,8.5,0.8,5.6,14.0,0.505,16.4,5.7,10.7,0.434,436,1,0,0,False
162,108,56,1.5,1.0,0.5,5.7,0.448,0.0,0.6,-0.6,0.397,111,0,0,0,False
2790,426,2151,5.1,0.8,3.9,12.6,0.487,13.5,9.9,3.6,0.449,551,0,1,0,False
347,55,119,3.2,0.5,1.1,8.4,0.463,0.3,1.3,-1.0,0.416,110,0,0,0,False
29580,1936,17834,20.3,1.3,12.3,22.0,0.569,179.1,60.5,118.6,0.495,1455,13,1,2.873,True
2454,378,1310,6.5,1.0,3.5,13.2,0.547,8.9,3.4,5.5,0.502,379,0,0,0,False
1291,254,2214,4.2,0.8,7.2,9.3,0.481,8.3,5.7,2.6,0.469,309,0,0,0,False
14470,2860,3554,14.7,2.9,3.6,16.3,0.585,90.6,31.5,59.1,0.518,983,1,0,0,False
2896,601,1962,5.3,1.1,3.6,9.3,0.501,14.4,8.1,6.3,0.46,542,0,1,0,False
609,310,175,3.6,1.9,1.0,8.5,0.449,-0.8,1.4,-2.2,0.399,167,0,0,0,False
12884,1985,7232,16.5,2.5,9.3,18.0,0.526,64.3,35.8,28.4,0.462,781,1,0,0,False
2553,472,2151,7.2,1.3,6.0,10.0,0.492,12.8,9.8,3.0,0.464,357,0,0,0,False
510,84,209,2.8,0.5,1.2,8.0,0.494,1.3,1.7,-0.4,0.458,179,0,1,0,False
4215,211,1872,9.2,0.5,4.1,14.4,0.5,17.6,8.3,9.3,0.469,457,0,0,0,False
425,42,314,3.4,0.3,2.5,10.0,0.447,0.9,1.4,-0.4,0.423,124,0,0,0,False
9895,2140,5589,13.0,2.8,7.3,15.9,0.509,40.2,28.7,11.6,0.463,763,1,0,0.001,False
11782,2572,12357,9.4,2.1,9.9,13.9,0.489,79.9,51.7,28.2,0.432,1254,2,3,0.01,False
6477,1292,1670,9.6,1.9,2.5,11.5,0.529,17.7,5.5,12.2,0.484,676,0,0,0,False
10498,2315,3758,17.4,3.8,6.2,17.2,0.547,65.3,22.9,42.4,0.488,605,4,3,0,True
6265,1875,2017,8.6,2.6,2.8,13.1,0.598,48.9,18.2,30.7,0.537,732,0,3,0,False
372,60,357,3.2,0.5,3.0,12.4,0.444,1.2,1.2,0.0,0.402,118,0,0,0,False
30026,5176,10525,24.2,4.2,8.5,23.6,0.558,181.1,73.8,107.3,0.509,1243,16,3,1.407,True
11644,2414,3271,19.1,4.0,5.4,15.7,0.504,43.7,21.3,22.4,0.456,611,1,0,0.001,False
1519,375,602,6.1,1.5,2.4,11.2,0.508,5.7,3.7,2.0,0.449,247,0,0,0,False
1019,333,384,6.8,2.2,2.6,14.1,0.513,4.5,1.9,2.6,0.483,149,0,0,0,False
1355,377,418,8.4,2.3,2.6,12.5,0.521,4.9,3.0,2.0,0.475,161,0,0,0,False
12455,1264,5404,17.7,1.8,7.7,16.4,0.519,35.6,23.2,12.4,0.474,705,1,0,0.001,False
8683,959,3243,18.1,2.0,6.8,15.1,0.512,24.3,6.7,17.6,0.449,479,1,0,0,False
970,386,224,5.6,2.2,1.3,6.2,0.432,-2.9,0.9,-3.8,0.401,173,0,0,0,False
13398,3541,9326,11.8,3.1,8.2,17.7,0.543,96.4,52.9,43.5,0.5,1134,1,0,0,False
173,18,107,1.7,0.2,1.0,5.4,0.375,-0.7,0.6,-1.3,0.367,102,0,0,0,False
5971,920,971,11.9,1.8,1.9,13.0,0.502,17.3,8.0,9.4,0.462,501,0,0,0,False
5033,1631,4371,5.1,1.6,4.4,10.4,0.5,39.8,21.6,18.2,0.457,993,0,0,0,False
19181,4805,3279,18.6,4.7,3.2,16.7,0.514,76.3,20.7,55.6,0.456,1031,5,1,0,True
6088,3136,1494,9.4,4.8,2.3,12.8,0.48,22.1,10.9,11.2,0.433,650,0,1,0,False
1974,118,1023,9.7,0.6,5.0,12.8,0.493,1.4,3.3,-1.8,0.456,203,0,0,0,False
1410,315,1312,5.7,1.3,5.3,11.4,0.508,6.3,4.4,1.9,0.482,249,0,0,0,False
2171,639,575,9.1,2.7,2.4,9.4,0.424,-1.7,3.0,-4.7,0.396,238,0,0,0,False
3131,1147,1098,5.2,1.9,1.8,12.0,0.5,16.5,15.7,0.8,0.458,600,0,0,0,False
7813,923,4999,11.6,1.4,7.4,14.7,0.551,33.6,19.3,14.3,0.51,674,0,0,0,False
6652,3881,1526,11.1,6.5,2.5,14.4,0.552,30.4,8.1,22.3,0.485,600,0,0,0,False
254,58,163,2.4,0.6,1.6,9.8,0.491,1.2,0.8,0.3,0.413,105,0,0,0,False
436,38,291,4.2,0.4,2.8,8.8,0.474,0.6,0.5,0.1,0.467,103,0,0,0,False
9041,1017,6755,10.0,1.1,7.5,14.1,0.518,59.6,31.4,28.2,0.448,903,1,0,0,False
1967,1410,819,5.5,3.9,2.3,12.0,0.495,10.7,7.9,2.7,0.452,359,0,0,0,False
649,47,205,5.5,0.4,1.8,11.9,0.479,1.4,0.9,0.5,0.415,117,0,1,0,False
1488,304,516,5.2,1.1,1.8,9.2,0.533,6.2,2.0,4.3,0.48,287,0,0,0,False
2199,442,1726,6.9,1.4,5.4,11.5,0.499,10.8,9.8,0.9,0.469,318,0,0,0,False
6666,957,5187,9.8,1.4,7.6,13.4,0.509,31.1,23.8,7.3,0.477,682,0,2,0,False
20941,2544,14241,20.1,2.4,13.7,19.8,0.554,130.0,26.7,103.3,0.516,1043,4,0,0.002,True
3161,657,4602,7.6,1.6,11.0,10.8,0.455,17.8,19.8,-2.1,0.418,418,1,0,0,False
3948,616,3360,6.0,0.9,5.1,11.5,0.45,18.9,21.0,-2.2,0.41,658,0,0,0,False
2222,220,2351,4.4,0.4,4.6,13.8,0.541,26.6,14.6,12.1,0.494,506,0,0,0,False
12954,1672,6701,17.2,2.2,8.9,17.0,0.524,58.5,29.3,29.2,0.487,752,5,1,0,False
2167,886,580,7.8,3.2,2.1,13.1,0.528,8.4,3.4,4.9,0.482,277,0,0,0,False
5118,806,3546,9.2,1.4,6.3,13.5,0.505,24.4,11.4,13.0,0.451,559,0,0,0,False
189,20,228,1.8,0.2,2.2,13.1,0.474,1.3,1.0,0.3,0.464,105,0,0,0,False
7712,3394,2269,9.2,4.0,2.7,16.3,0.532,49.8,22.4,27.4,0.48,840,0,0,0.003,False
3397,487,2354,6.9,1.0,4.8,11.0,0.528,13.8,11.1,2.7,0.486,491,0,0,0,False
4166,1376,1420,5.6,1.9,1.9,10.0,0.494,11.7,12.3,-0.6,0.455,740,0,0,0,False
4141,1962,817,6.9,3.3,1.4,11.7,0.546,21.2,8.1,13.1,0.513,598,0,1,0,False
1262,192,551,5.2,0.8,2.3,10.3,0.472,2.3,3.0,-0.7,0.441,241,0,0,0,False
4380,2509,684,8.8,5.1,1.4,12.7,0.517,11.9,2.3,9.5,0.485,496,0,0,0,False
17111,1541,8675,20.3,1.8,10.3,19.1,0.521,78.5,31.9,46.6,0.469,844,5,1,0.114,False
575,327,179,4.6,2.6,1.4,10.5,0.454,1.9,0.9,1.0,0.394,125,0,0,0,False
6203,3146,2445,7.4,3.7,2.9,12.4,0.503,34.6,26.2,8.3,0.466,842,0,1,0,False
3614,703,2126,7.4,1.4,4.4,11.7,0.517,16.2,6.9,9.4,0.453,486,0,0,0,False
1688,248,1493,3.8,0.6,3.3,10.4,0.458,6.9,6.3,0.7,0.428,446,0,0,0,False
1195,424,248,8.0,2.8,1.7,9.3,0.427,0.4,1.0,-0.6,0.409,150,0,0,0,False
423,182,75,2.9,1.2,0.5,11.6,0.491,1.6,1.0,0.6,0.423,148,0,0,0,False
472,68,186,3.5,0.5,1.4,8.0,0.469,0.5,1.0,-0.6,0.404,136,0,0,0,False
13422,1939,2446,22.7,3.3,4.1,19.9,0.568,63.3,13.4,49.9,0.507,592,5,0,0.154,True
1201,109,981,7.7,0.7,6.3,16.3,0.527,6.5,2.9,3.5,0.502,155,0,0,0,False
3425,513,2051,8.2,1.2,4.9,12.0,0.52,15.6,9.0,6.6,0.458,420,0,0,0,False
3898,691,2707,8.9,1.6,6.2,13.1,0.558,24.8,13.7,11.2,0.514,438,0,0,0,False
6154,1300,1457,9.5,2.0,2.2,14.2,0.555,33.3,11.0,22.3,0.524,649,0,0,0,False
2113,436,527,9.4,1.9,2.4,12.6,0.49,6.4,3.6,2.7,0.437,224,0,0,0,False
5730,937,3417,9.8,1.6,5.9,13.0,0.466,19.1,14.0,5.1,0.42,582,0,0,0,False
578,110,264,4.8,0.9,2.2,8.5,0.411,-0.8,1.1,-1.8,0.373,120,0,0,0,False
2997,1594,610,9.6,5.1,2.0,12.2,0.457,2.5,2.3,0.3,0.415,312,0,0,0,False
1012,221,1324,2.8,0.6,3.7,10.5,0.444,4.2,5.3,-1.0,0.406,358,0,1,0,False
835,114,648,3.9,0.5,3.0,10.2,0.515,3.9,3.1,0.8,0.464,214,0,0,0,False
1210,930,396,3.8,2.9,1.2,12.4,0.559,8.1,3.4,4.8,0.501,321,0,0,0,False
1244,310,531,5.5,1.4,2.4,8.2,0.395,0.3,2.6,-2.3,0.344,225,0,0,0,False
16320,2791,4708,17.6,3.0,5.1,17.7,0.559,81.2,29.7,51.5,0.525,926,7,3,0.009,True
15635,5939,3221,15.7,6.0,3.2,19.5,0.544,87.5,21.5,66.0,0.48,993,1,3,0.003,False
3129,514,652,21.9,3.6,4.6,18.0,0.511,14.8,4.8,10.0,0.439,143,1,0,0,False
1781,524,511,5.1,1.5,1.5,10.6,0.449,3.1,3.3,-0.2,0.417,347,0,1,0,False
4214,817,2610,9.1,1.8,5.6,14.0,0.51,14.1,12.2,1.9,0.465,464,0,0,0,False
2177,852,500,7.4,2.9,1.7,10.6,0.534,9.5,3.8,5.7,0.512,295,0,0,0,False
7357,2083,1988,12.0,3.4,3.2,15.3,0.534,43.9,15.9,28.0,0.463,615,0,1,0,False
7094,1053,4757,10.0,1.5,6.7,13.4,0.458,13.3,11.1,2.2,0.417,706,0,0,0,False
4658,462,2444,11.2,1.1,5.9,14.5,0.482,15.9,9.5,6.4,0.421,416,0,0,0,False
1481,555,533,5.8,2.2,2.1,9.7,0.436,1.1,3.3,-2.3,0.381,255,0,0,0,False
2847,675,1190,9.8,2.3,4.1,11.0,0.437,7.9,6.6,1.3,0.392,292,0,0,0,False
2216,307,2144,5.4,0.7,5.2,11.3,0.425,0.5,5.0,-4.6,0.372,410,0,0,0,False
863,95,685,4.4,0.5,3.5,10.9,0.505,4.6,4.0,0.6,0.464,196,0,0,0,False
873,177,289,5.7,1.2,1.9,9.2,0.482,0.7,1.2,-0.6,0.434,153,0,0,0,False
4458,1677,619,11.9,4.5,1.6,12.8,0.52,18.6,7.0,11.6,0.471,376,0,0,0,False
5820,2248,1308,9.5,3.7,2.1,13.8,0.49,22.9,19.7,3.3,0.458,612,0,0,0,False
1442,1243,370,4.2,3.6,1.1,11.4,0.491,5.2,3.7,1.5,0.455,341,0,0,0,False
1779,384,1011,5.6,1.2,3.2,12.9,0.534,13.4,5.0,8.4,0.492,319,0,0,0,False
3148,1420,1173,4.8,2.2,1.8,10.3,0.46,11.0,14.0,-3.0,0.421,655,0,3,0,False
938,201,219,4.5,1.0,1.1,10.6,0.498,1.3,1.8,-0.5,0.437,207,0,0,0,False
5085,1693,1501,8.6,2.9,2.5,10.7,0.453,12.7,12.8,-0.1,0.416,589,0,1,0.002,False
1619,353,791,8.4,1.8,4.1,14.1,0.461,7.2,2.4,4.7,0.379,192,0,0,0,False
538,303,155,3.5,2.0,1.0,9.5,0.48,1.6,0.9,0.8,0.464,152,0,0,0,False
728,152,235,5.8,1.2,1.9,10.2,0.443,0.9,1.3,-0.4,0.395,125,0,1,0,False
2012,266,1273,7.2,1.0,4.6,11.9,0.445,8.6,5.1,3.5,0.391,278,0,0,0,False
964,109,573,4.1,0.5,2.4,9.7,0.446,0.9,3.2,-2.3,0.419,238,0,1,0,False
2193,303,1320,7.2,1.0,4.4,10.7,0.46,6.4,7.0,-0.6,0.42,303,0,1,0,False
1837,228,772,6.2,0.8,2.6,8.9,0.464,0.5,4.2,-3.8,0.403,294,0,0,0,False
8733,917,4432,12.0,1.3,6.1,15.8,0.605,46.4,28.0,18.3,0.572,726,0,0,0,False
1061,236,568,6.0,1.3,3.2,8.3,0.498,2.5,1.0,1.5,0.473,176,0,0,0,False
1491,175,735,5.1,0.6,2.5,11.1,0.485,4.5,3.4,1.1,0.457,290,0,0,0,False
13895,1123,4653,17.6,1.4,5.9,14.9,0.485,50.4,27.3,23.2,0.429,789,3,0,0.017,False
641,229,343,4.9,1.7,2.6,9.2,0.407,0.8,1.3,-0.6,0.369,131,0,0,0,False
12964,1237,7119,14.8,1.4,8.1,16.1,0.519,64.2,19.4,44.9,0.462,874,1,1,0,False
606,121,540,2.4,0.5,2.2,8.3,0.473,1.9,3.3,-1.4,0.458,249,0,0,0,False
1337,106,607,5.1,0.4,2.3,13.4,0.479,5.4,3.5,1.9,0.441,263,0,0,0,False
4406,1262,2201,10.1,2.9,5.1,14.6,0.498,19.9,14.1,5.8,0.459,435,0,0,0,False
1830,266,776,7.8,1.1,3.3,11.4,0.467,3.5,4.1,-0.6,0.422,236,0,0,0,False
10448,2500,4168,11.4,2.7,4.5,13.1,0.494,40.3,22.2,18.1,0.463,919,0,0,0,False
531,66,307,4.2,0.5,2.4,8.1,0.49,0.2,1.1,-0.9,0.432,126,0,0,0,False
11825,3212,3109,12.0,3.3,3.2,15.2,0.506,50.8,23.5,27.2,0.468,984,0,2,0,False
576,126,315,4.5,1.0,2.5,11.0,0.488,2.0,2.2,-0.2,0.422,128,0,0,0,False
27482,2907,11133,22.6,2.4,9.1,21.4,0.559,157.8,47.0,110.8,0.5,1218,7,1,0.004,True
14018,3160,2637,14.6,3.3,2.7,17.7,0.518,63.2,24.4,38.8,0.482,963,1,1,0.012,False
877,288,527,7.6,2.5,4.5,11.8,0.414,3.6,2.8,0.8,0.36,116,0,0,0,False
757,247,1603,3.0,1.0,6.3,10.2,0.464,7.3,6.1,1.2,0.469,253,0,0,0,False
4161,1877,1140,9.0,4.1,2.5,13.7,0.483,21.7,10.2,11.5,0.448,460,0,0,0,False
2237,189,1526,8.2,0.7,5.6,13.6,0.452,9.5,5.3,4.2,0.394,273,0,0,0,False
5345,1880,736,11.2,3.9,1.5,12.6,0.537,19.8,5.0,14.8,0.49,479,0,0,0,False
767,535,263,4.5,3.1,1.5,12.0,0.475,1.8,2.4,-0.6,0.432,170,0,0,0,False
389,41,395,2.8,0.3,2.8,6.3,0.448,-0.4,1.3,-1.7,0.406,139,0,0,0,False
1396,525,617,5.1,1.9,2.3,9.4,0.486,4.7,7.9,-3.2,0.437,274,0,0,0,False
21813,8966,5269,16.3,6.7,3.9,18.9,0.528,145.5,48.9,96.7,0.496,1335,9,1,0.823,True
5428,898,3454,6.7,1.1,4.3,12.5,0.508,29.3,18.9,10.4,0.453,807,0,1,0,False
293,36,121,2.5,0.3,1.0,8.7,0.457,0.9,1.3,-0.4,0.399,119,0,0,0,False
830,185,226,7.0,1.6,1.9,7.6,0.523,3.0,1.0,2.1,0.478,119,0,0,0,False
4366,504,2276,8.6,1.0,4.5,15.9,0.531,23.2,10.9,12.4,0.501,506,0,0,0,False
1031,254,225,5.2,1.3,1.1,10.2,0.462,1.9,1.7,0.2,0.41,198,0,0,0,False
15659,5281,3646,14.5,4.9,3.4,17.7,0.582,108.9,32.2,76.6,0.53,1077,1,0,0,False
13858,2645,4763,14.7,2.8,5.1,13.7,0.53,38.9,22.1,16.9,0.508,943,0,0,0,False
5583,1172,1045,8.2,1.7,1.5,11.8,0.566,27.7,8.2,19.6,0.537,685,0,0,0,False
3285,1688,1219,7.3,3.8,2.7,12.4,0.466,10.7,14.9,-4.2,0.423,448,0,0,0,False
7826,1398,2610,9.5,1.7,3.2,11.0,0.502,23.1,13.9,9.3,0.48,825,0,0,0,False
1892,765,518,5.8,2.4,1.6,13.3,0.514,8.8,3.4,5.5,0.477,325,0,0,0,False
13910,3916,4309,13.8,3.9,4.3,15.6,0.511,65.8,44.1,21.7,0.468,1009,0,5,0,False
3257,553,609,15.4,2.6,2.9,13.4,0.522,9.6,2.0,7.6,0.483,212,0,0,0,False
4733,668,2128,11.7,1.7,5.3,14.2,0.507,18.1,7.6,10.5,0.454,403,0,0,0,False
9012,1151,3646,13.8,1.8,5.6,16.3,0.559,56.3,9.7,46.6,0.506,652,3,0,0.011,False
13623,1609,3696,16.0,1.9,4.3,16.6,0.567,53.0,14.8,38.2,0.514,851,0,0,0,False
4086,818,2001,12.8,2.6,6.3,15.2,0.524,16.5,5.4,11.1,0.486,319,0,0,0,False
12172,3617,1923,16.1,4.8,2.5,17.4,0.552,60.4,16.0,44.4,0.451,755,5,0,0,False
5889,623,2452,11.0,1.2,4.6,13.1,0.501,9.9,7.7,2.1,0.467,534,0,0,0,False
1694,356,1114,4.6,1.0,3.0,8.5,0.48,2.5,2.3,0.2,0.426,372,0,0,0,False
951,173,762,8.0,1.5,6.4,11.9,0.388,-1.0,3.3,-4.3,0.364,119,0,0,0,False
5914,788,2913,8.1,1.1,4.0,12.2,0.528,27.2,13.3,13.9,0.483,729,0,0,0,False
4036,904,1317,9.1,2.0,3.0,15.0,0.494,10.5,9.1,1.5,0.422,443,0,0,0,False
1643,215,1323,4.4,0.6,3.5,11.3,0.514,5.5,4.7,0.8,0.49,374,0,0,0,False
16262,4487,3597,16.7,4.6,3.7,16.5,0.513,60.1,18.6,41.4,0.47,976,2,0,0.001,False
375,77,164,3.7,0.8,1.6,11.8,0.463,1.7,1.0,0.8,0.43,102,0,0,0,False
2988,233,1655,13.1,1.0,7.3,15.5,0.502,14.7,7.3,7.4,0.468,228,0,0,0,False
379,199,93,2.7,1.4,0.7,7.3,0.416,-0.9,0.7,-1.5,0.378,142,0,0,0,False
5059,388,3158,9.2,0.7,5.7,15.2,0.542,28.4,14.4,14.0,0.501,552,0,0,0,False
18822,9061,3478,19.2,9.3,3.6,18.1,0.516,80.7,39.5,41.2,0.465,979,12,2,0.318,True
4797,1818,971,9.3,3.5,1.9,13.5,0.501,23.5,12.0,11.6,0.441,516,0,0,0,False
1319,825,330,8.6,5.4,2.2,12.2,0.504,2.1,1.3,0.8,0.446,153,0,0,0,False
1628,156,1146,6.3,0.6,4.5,13.7,0.531,9.0,6.7,2.2,0.5,257,0,0,0,False
381,63,316,3.3,0.6,2.8,10.6,0.498,2.1,1.2,0.9,0.421,114,0,0,0,False
2225,672,844,6.8,2.0,2.6,13.9,0.538,9.3,5.9,3.4,0.491,328,0,0,0,False
11988,1348,7267,15.5,1.7,9.4,14.9,0.52,52.7,37.2,15.5,0.483,772,2,0,0.018,False
13220,3527,3193,14.3,3.8,3.5,15.3,0.53,47.2,19.8,27.4,0.477,923,0,0,0.001,False
1785,629,554,8.3,2.9,2.6,9.4,0.394,3.5,6.2,-2.7,0.344,215,1,0,0,False
11839,1509,5867,15.0,1.9,7.4,16.3,0.522,47.0,21.5,25.5,0.487,791,4,0,0.021,False
1540,237,485,7.1,1.1,2.2,12.3,0.487,1.8,3.7,-1.9,0.455,218,0,0,0,False
2387,232,749,7.4,0.7,2.3,12.4,0.541,6.5,2.5,4.0,0.506,324,0,0,0,False
1259,307,795,4.5,1.1,2.8,9.8,0.535,3.3,3.0,0.3,0.481,280,0,0,0,False
3235,1034,588,8.0,2.6,1.5,12.7,0.53,7.3,2.3,4.9,0.473,402,0,0,0,False
1690,227,409,9.0,1.2,2.2,11.5,0.487,4.1,2.1,2.0,0.435,187,0,0,0,False
1317,454,437,6.2,2.2,2.1,12.1,0.46,2.8,2.0,0.8,0.429,211,0,0,0,False
1677,834,481,5.5,2.7,1.6,12.4,0.504,3.0,3.3,-0.3,0.468,307,0,0,0,False
980,204,502,7.0,1.4,3.6,12.3,0.544,3.0,2.3,0.8,0.496,141,0,0,0,False
1499,352,433,8.4,2.0,2.4,13.7,0.521,5.7,3.1,2.7,0.487,179,0,0,0,False
1685,428,467,6.7,1.7,1.9,8.9,0.429,0.1,5.1,-5.0,0.394,251,0,0,0,False
466,110,494,4.3,1.0,4.6,10.3,0.499,2.6,2.6,-0.1,0.456,108,0,0,0,False
5437,1658,1060,6.0,1.8,1.2,13.1,0.593,47.2,15.1,32.1,0.564,910,0,5,0,False
5594,3083,854,11.6,6.4,1.8,13.9,0.531,23.3,12.5,10.8,0.469,482,0,0,0.036,False
4578,906,4239,9.5,1.9,8.8,13.5,0.49,29.6,21.9,7.7,0.455,480,0,0,0,False
204,36,213,1.8,0.3,1.9,7.7,0.416,0.5,1.3,-0.8,0.377,114,0,0,0,False
2800,903,1133,8.2,2.6,3.3,10.9,0.429,14.3,10.5,3.8,0.388,341,0,2,0,False
5414,2058,2058,7.2,2.8,2.8,11.2,0.522,24.7,14.8,9.8,0.439,748,0,0,0,False
4285,2174,1446,5.8,3.0,2.0,9.8,0.524,26.7,10.9,15.9,0.489,735,0,1,0,False
1333,241,491,6.3,1.1,2.3,12.4,0.52,4.5,2.7,1.8,0.479,211,0,0,0,False
1103,159,538,4.7,0.7,2.3,11.1,0.463,2.4,2.5,0.0,0.429,236,0,0,0,False
2253,1038,654,4.5,2.1,1.3,10.0,0.481,2.5,1.8,0.7,0.438,499,0,0,0,False
10303,3754,9687,10.3,3.7,9.7,14.2,0.48,50.9,41.9,9.0,0.441,1002,1,0,0.013,False
