@relation nba_all
@attribute stats.totals.pts.value integer
@attribute stats.totals.ast.value integer
@attribute stats.totals.trb.value integer
@attribute stats.per_game.pts_per_g.value real
@attribute stats.per_game.ast_per_g.value real
@attribute stats.per_game.trb_per_g.value real
@attribute stats.advanced.per.value real
@attribute stats.advanced.ts_pct.value real
@attribute stats.advanced.ws.value real
@attribute stats.advanced.dws.value real
@attribute stats.advanced.ows.value real
@attribute stats.advanced.efg_pct.value real
@attribute stats.totals.g.value integer
@attribute honors.allstar_appearances integer
@attribute honors.championships integer
@attribute honors.mvpshares integer
@attribute hall_of_fame {True, False}
@data
813,127,534,5.2,0.8,3.4,13.2,0.477,2.8,2.6,0.2,0.416,155,0,0,0,False
3815,507,2554,11.9,1.6,8.0,12.3,0.493,16.7,9.9,6.8,0.445,321,1,0,0,False
2936,529,1991,8.6,1.6,5.9,12.3,0.477,11.4,9.0,2.4,0.423,340,0,0,0,False
1090,614,248,6.6,3.7,1.5,15.5,0.582,7.7,1.8,5.8,0.52,164,0,0,0,False
1500,171,1087,9.8,1.1,7.1,14.8,0.458,4.6,4.0,0.6,0.415,153,0,0,0,False
4461,701,669,15.4,2.4,2.3,16.4,0.589,21.5,5.9,15.6,0.544,290,0,0,0,True
508,61,170,3.5,0.4,1.2,10.3,0.453,-0.1,1.0,-1.1,0.426,144,0,0,0,False
2426,338,1409,8.1,1.1,4.7,13.6,0.5,10.7,6.0,4.7,0.455,298,0,0,0,False
3093,428,959,9.5,1.3,3.0,14.0,0.566,16.0,3.9,12.2,0.525,325,0,0,0,False
1343,180,1525,3.6,0.5,4.1,9.0,0.551,9.3,4.2,5.1,0.509,375,0,0,0,False
2197,352,313,11.7,1.9,1.7,18.1,0.525,6.9,2.5,4.4,0.483,187,0,0,0,False
723,44,170,6.1,0.4,1.4,16.7,0.476,2.7,1.4,1.3,0.388,118,0,2,0,False
4369,929,5887,4.8,1.0,6.5,12.4,0.488,33.0,31.7,1.2,0.451,904,0,1,0.004,False
507,81,684,3.7,0.6,5.0,8.6,0.47,3.0,3.1,-0.1,0.449,136,0,0,0,False
2533,225,1440,8.5,0.8,4.8,16.7,0.537,13.4,5.6,7.9,0.466,297,0,0,0,False
1958,278,1584,5.6,0.8,4.5,8.8,0.439,0.3,6.2,-5.8,0.403,352,0,0,0,False
10266,2254,4387,11.0,2.4,4.7,13.9,0.551,61.8,30.6,31.3,0.498,937,0,0,0,False
2527,661,3193,5.6,1.5,7.1,13.9,0.552,23.4,12.0,11.4,0.538,449,0,0,0,False
398,48,286,3.5,0.4,2.5,9.3,0.387,0.0,1.2,-1.2,0.366,114,0,0,0,False
976,106,805,4.7,0.5,3.9,8.1,0.486,1.4,2.4,-1.0,0.459,206,0,0,0,False
7206,495,3452,14.2,1.0,6.8,14.7,0.55,30.2,16.3,13.9,0.499,507,0,0,0,False
3123,685,1009,9.7,2.1,3.1,13.1,0.463,14.8,4.2,10.6,0.388,321,0,0,0,False
5216,840,6939,6.0,1.0,7.9,10.9,0.496,44.8,48.0,-3.2,0.458,875,1,0,0.009,False
5768,1288,4272,8.4,1.9,6.2,14.3,0.53,37.1,20.9,16.2,0.485,688,0,0,0,False
4145,1208,884,12.0,3.5,2.6,13.3,0.488,12.4,8.0,4.5,0.44,344,0,0,0,False
9063,815,4220,19.2,1.7,8.9,20.5,0.499,58.5,15.5,43.0,0.422,472,6,0,0.382,True
3345,517,1570,8.3,1.3,3.9,12.3,0.481,11.4,8.4,3.0,0.434,402,0,1,0,False
4918,764,2482,18.9,2.9,9.5,19.3,0.54,20.9,10.2,10.6,0.5,260,0,0,0,False
336,25,173,2.8,0.2,1.4,13.8,0.537,1.6,1.2,0.4,0.481,120,0,0,0,False
14053,2732,12942,17.0,3.3,15.6,18.9,0.544,98.4,34.8,63.6,0.499,829,7,1,0.027,True
767,751,248,2.8,2.7,0.9,9.9,0.435,1.6,2.2,-0.6,0.408,274,0,0,0,False
5763,1002,3378,17.4,3.0,10.2,18.7,0.615,34.3,18.0,16.3,0.564,332,1,0,0.066,False
1261,294,697,5.5,1.3,3.0,11.9,0.499,2.3,3.2,-0.9,0.455,230,0,0,0,False
1180,82,922,3.5,0.2,2.7,9.7,0.479,2.9,3.4,-0.5,0.425,341,0,0,0,False
5380,2480,901,11.4,5.2,1.9,14.8,0.499,17.9,7.9,10.0,0.456,474,0,0,0.016,False
535,424,212,4.2,3.3,1.7,11.3,0.502,1.4,1.1,0.2,0.46,127,0,0,0,False
6873,932,4264,11.6,1.6,7.2,12.9,0.519,34.1,13.2,20.9,0.482,590,1,0,0,False
1281,102,771,4.6,0.4,2.7,14.5,0.518,7.0,4.1,3.0,0.489,281,0,0,0,False
9710,3368,1505,12.9,4.5,2.0,14.3,0.512,38.5,13.4,25.1,0.45,750,0,1,0,False
2248,543,1733,6.9,1.7,5.3,10.2,0.465,4.8,4.4,0.4,0.438,327,0,0,0,False
473,59,516,2.8,0.3,3.0,9.7,0.502,1.3,2.1,-0.8,0.477,170,0,0,0,False
1125,294,259,5.6,1.5,1.3,9.4,0.433,-2.7,1.2,-3.9,0.4,201,0,0,0,False
1090,876,447,3.2,2.6,1.3,10.7,0.464,3.6,4.4,-0.8,0.426,337,0,0,0,False
757,363,418,4.0,1.9,2.2,11.5,0.437,5.5,2.8,2.7,0.379,191,0,0,0,False
4238,266,2964,6.2,0.4,4.3,11.9,0.519,15.6,9.3,6.3,0.47,683,0,1,0,False
7038,2484,1810,9.1,3.2,2.3,13.5,0.534,40.6,14.0,26.6,0.495,771,0,0,0,False
4617,856,1760,9.1,1.7,3.5,11.9,0.525,20.8,13.4,7.4,0.488,505,0,0,0,False
3625,1455,1420,8.4,3.4,3.3,11.7,0.402,4.3,9.4,-5.1,0.347,431,2,0,0,False
3740,595,3918,4.7,0.8,4.9,13.6,0.537,26.6,18.9,7.7,0.516,792,0,4,0,False
4953,385,4246,7.3,0.6,6.2,13.0,0.513,18.7,16.9,1.8,0.492,680,0,0,0,False
6953,1150,2697,10.7,1.8,4.2,17.1,0.556,35.1,13.1,21.9,0.52,649,0,0,0,False
8278,1057,8646,7.3,0.9,7.6,13.9,0.549,74.4,36.9,37.4,0.515,1140,0,0,0,False
15097,2729,2987,14.1,2.5,2.8,15.5,0.556,75.2,28.5,46.7,0.514,1073,0,3,0,False
693,116,311,6.7,1.1,3.0,10.6,0.486,1.0,1.8,-0.8,0.459,103,0,0,0,False
12544,2260,2072,18.0,3.2,3.0,16.5,0.533,48.2,19.4,28.8,0.509,696,4,0,0.01,False
1816,1003,473,7.3,4.0,1.9,13.0,0.533,6.3,3.0,3.4,0.47,250,0,1,0,False
4034,1201,760,7.4,2.2,1.4,11.2,0.523,17.2,6.4,10.9,0.504,543,0,0,0,False
2325,669,1191,6.3,1.8,3.2,11.2,0.431,9.0,6.4,2.6,0.383,371,0,1,0,False
3209,364,1597,7.5,0.8,3.7,13.9,0.538,17.6,6.6,11.0,0.488,430,0,0,0,False
12914,2945,4002,13.4,3.0,4.1,14.7,0.493,47.8,28.2,19.6,0.448,966,0,0,0,False
3541,494,2717,5.9,0.8,4.5,10.8,0.481,14.6,12.2,2.4,0.448,604,0,0,0,False
15948,3563,2747,24.2,5.4,4.2,18.4,0.5,46.7,16.1,30.6,0.441,658,5,0,0.069,True
3016,647,1691,6.4,1.4,3.6,10.8,0.495,12.7,7.6,5.1,0.464,474,0,0,0,False
517,34,379,3.8,0.3,2.8,11.8,0.529,2.5,1.2,1.3,0.466,136,0,0,0,False
2382,233,1113,7.4,0.7,3.4,15.2,0.435,6.5,4.2,2.3,0.386,324,0,0,0,False
5094,397,3249,7.8,0.6,5.0,14.5,0.51,28.0,13.0,15.0,0.469,652,0,0,0,False
3690,610,1450,10.4,1.7,4.1,14.2,0.52,17.4,8.0,9.4,0.462,355,0,0,0,False
7345,777,3450,11.7,1.2,5.5,15.3,0.6,26.9,14.6,12.2,0.572,626,1,0,0.005,False
5116,2748,1324,6.5,3.5,1.7,11.5,0.505,19.5,11.1,8.4,0.463,786,0,0,0,False
2408,490,1169,10.8,2.2,5.2,12.7,0.501,9.9,5.8,4.1,0.469,224,0,0,0,False
367,62,178,3.5,0.6,1.7,10.8,0.486,0.9,0.5,0.5,0.459,106,0,0,0,False
11736,2697,2646,13.0,3.0,2.9,13.0,0.504,33.9,21.1,12.9,0.47,900,0,0,0,False
964,195,142,9.4,1.9,1.4,9.9,0.454,0.0,0.6,-0.6,0.414,103,0,0,0,False
4921,2556,1112,8.9,4.6,2.0,15.0,0.509,14.4,10.8,3.5,0.439,552,0,0,0,False
1030,121,464,6.4,0.8,2.9,10.0,0.508,3.2,3.1,0.1,0.449,160,0,0,0,False
1359,853,501,5.4,3.4,2.0,11.6,0.518,5.9,4.4,1.5,0.471,251,0,0,0,False
822,72,412,6.3,0.5,3.1,13.3,0.456,1.0,0.8,0.2,0.399,131,0,0,0,False
562,749,335,2.9,3.9,1.7,10.4,0.444,3.9,3.4,0.6,0.37,193,0,0,0,False
2171,236,1744,7.2,0.8,5.8,14.3,0.45,10.9,9.4,1.5,0.43,303,0,0,0,False
394,60,290,2.7,0.4,2.0,8.2,0.492,1.6,1.2,0.4,0.446,147,0,0,0,False
4833,769,3028,10.9,1.7,6.9,13.4,0.438,9.9,7.8,2.1,0.398,442,0,0,0,False
451,305,141,3.3,2.3,1.0,11.4,0.49,2.0,1.2,0.9,0.427,135,0,0,0,False
8255,1345,5578,10.8,1.8,7.3,16.5,0.579,57.5,19.3,38.1,0.504,767,1,2,0,False
13017,3023,3427,16.2,3.8,4.3,16.3,0.507,62.8,26.5,36.3,0.463,804,3,1,0,False
1258,244,376,11.6,2.3,3.5,13.7,0.53,5.6,1.7,3.9,0.467,108,0,1,0,False
2544,605,1964,5.8,1.4,4.5,13.7,0.525,15.9,7.7,8.2,0.474,435,0,0,0,False
6357,1063,2808,11.2,1.9,4.9,13.3,0.517,37.7,18.9,18.8,0.471,568,0,0,0,False
2782,352,1340,9.6,1.2,4.6,13.4,0.481,2.7,4.0,-1.3,0.439,289,0,0,0,False
440,57,351,3.9,0.5,3.1,10.6,0.544,1.1,1.1,0.0,0.545,113,0,0,0,False
6168,1203,3881,9.1,1.8,5.7,14.2,0.531,33.6,20.6,13.0,0.494,680,0,0,0,False
